,Stop ID,Stop Latitude,Stop Longitude,Stop Name,Suburb,Location,distance_next_stop,distance_suburb_center,# of Bus Stops (in Suburbs),Population Density,Label
81,2558,-35.252644,149.139359,COWPER ST DARAMALAN COLLEGE,DICKSON,"(-35.252644, 149.139359)",0.012801243,0.036656537,0.006245121,0.625,1
82,3369,-35.256821,149.139679,COWPER ST BEFORE MAJURA AV,DICKSON,"(-35.256821, 149.139679)",0.117729851,0.480639978,0.006245121,0.625,1
83,4567,-35.255196,149.13327,NORTHBOURNE AV AFTER MORPHETT ST,DICKSON,"(-35.255196, 149.13327)",0.201423443,0.658306222,0.006245121,0.625,1
84,4749,-35.236713,149.142899,FEDERAL HWY AFTER PHILLIP AV,DOWNER,"(-35.236713, 149.142899)",0.145995806,0.850793032,0.006635441,0.625,1
85,3246,-35.242367,149.148285,BRADFIELD ST AFTER BURN ST,DOWNER,"(-35.242367, 149.148285)",0.036761987,0.359358447,0.006635441,0.625,1
86,3244,-35.243435,149.144501,BRADFIELD ST AFTER FRENCHAM ST,DOWNER,"(-35.243435, 149.144501)",0.090116617,0.093188366,0.006635441,0.625,1
87,2410,-35.34256,149.032303,WYANGALA ST AFTER WARANGA PL,DUFFY,"(-35.34256, 149.032303)",0.013129135,0.665092816,0.011319282,0.357142857,1
88,2409,-35.33289,149.037338,BURRINJUCK CR AFTER SERPENTINE ST,DUFFY,"(-35.33289, 149.037338)",0.018477169,0.503981793,0.011319282,0.357142857,1
89,1637,-35.343933,149.027664,HINDMARSH DR WESTON CREEK TERMINUS,DUFFY,"(-35.343933, 149.027664)",0.018801253,1.018691717,0.011319282,0.357142857,1
90,5025,-35.202499,149.021942,GINNINDERRA DR AFTER LANCE HILL AV,DUNLOP,"(-35.202499, 149.021942)",0.022258283,0.792184044,0.011319282,0.277777778,1
91,5026,-35.189392,149.021713,KERRIGAN ST AFTER TRAEGER ST,DUNLOP,"(-35.189392, 149.021713)",0.042470316,0.703080009,0.011319282,0.277777778,1
92,4970,-35.196499,149.015213,KERRIGAN ST AFTER BEDOURIE ST,DUNLOP,"(-35.196499, 149.015213)",0.010494063,0.447579899,0.011319282,0.277777778,1
93,4897,-35.210442,149.069794,ASHKANASY CR AFTER CLANCY ST,EVATT,"(-35.210442, 149.069794)",0.012609697,0.228324661,0.014051522,0.322580645,1
94,4898,-35.210388,149.069672,ASHKANASY CR AFTER PITCAIRN ST,EVATT,"(-35.210388, 149.069672)",0.012609697,0.223305643,0.014051522,0.322580645,1
95,4569,-35.210682,149.067444,ASHKANASY CR AFTER JENKS PL,EVATT,"(-35.210682, 149.067444)",0.044011873,0.11368828,0.014051522,0.322580645,1
96,1159,-35.398518,149.122116,BUGDEN AV AFTER 2ND MULLAN ST,FADDEN,"(-35.398518, 149.122116)",0.006998564,0.537836439,0.010148322,0.322580645,1
97,1160,-35.398529,149.122192,BUGDEN AV AFTER COURTICE CL,FADDEN,"(-35.398529, 149.122192)",0.006998564,0.541767632,0.010148322,0.322580645,1
98,1161,-35.400242,149.115692,BUGDEN AV AFTER DASH CR,FADDEN,"(-35.400242, 149.115692)",0.07906515,0.286399251,0.010148322,0.322580645,1
99,2477,-35.373634,149.101715,MARSHALL ST AFTER SPAFFORD CR,FARRER,"(-35.373634, 149.101715)",0.09128088,0.513513884,0.005464481,0.476190476,1
100,2655,-35.371723,149.098709,BEASLEY ST AFTER WILKINS ST,FARRER,"(-35.371723, 149.098709)",0.052606907,0.853855599,0.005464481,0.476190476,1
101,2654,-35.371151,149.100723,BEASLEY ST AFTER MARSHALL ST,FARRER,"(-35.371151, 149.100723)",0.116644943,0.791621609,0.005464481,0.476190476,1
102,1264,-35.358479,149.047928,NAMATJIRA DR SOUTHBOUND AFTER STREETON DR,FISHER,"(-35.358479, 149.047928)",0.030430741,0.869399666,0.006245121,0.625,1
103,1265,-35.360592,149.047806,NAMATJIRA DR BEFORE KAPUNDA ST,FISHER,"(-35.360592, 149.047806)",0.021616954,0.835227026,0.006245121,0.625,1
104,1263,-35.355114,149.050797,NAMATJIRA DR AFTER BADIMARA ST,FISHER,"(-35.355114, 149.050797)",0.028891525,0.863283458,0.006245121,0.625,1
105,5028,-35.231945,149.049728,SOUTHERN CROSS AFTER RATCLIFFE ST,FLOREY,"(-35.231945, 149.049728)",0.067450273,0.680326268,0.012880562,0.357142857,1
106,5003,-35.229382,149.044449,SOUTHERN CROSS DR BEFORE RATCLIFFE CR,FLOREY,"(-35.229382, 149.044449)",0.219214528,0.601504042,0.012880562,0.357142857,1
107,4064,-35.224728,149.054993,JOHN CLELAND CR AFTER CONNAH ST,FLOREY,"(-35.224728, 149.054993)",0.015387846,0.518961219,0.012880562,0.357142857,1
108,4570,-35.213284,149.046417,KINGSFORD SMITH DR AFTER COMPANION CR,FLYNN,"(-35.213284, 149.046417)",0.104367613,1.249773595,0.008587041,0.476190476,1
109,4436,-35.210693,149.047989,KINGSFORD SMITH DR BEFORE VERBRUGGHEN ST,FLYNN,"(-35.210693, 149.047989)",0.191384466,0.934749232,0.008587041,0.476190476,1
110,4202,-35.208279,149.042145,COMPANION CR AFTER 2ND NULSEN CCT,FLYNN,"(-35.208279, 149.042145)",0.017848908,0.979569013,0.008587041,0.476190476,1
111,6339,-35.178909,149.144272,DAVID WALSH AVE AFTER HORSE PARK DR,FORDE,"(-35.178909, 149.144272)",0.042118768,1.396979406,0.005464481,0.526315789,1
112,6312,-35.171356,149.148834,ZAKHAROV AFTER JUSTICE KELLY ST,FORDE,"(-35.171356, 149.148834)",0.069000335,0.762394197,0.005464481,0.526315789,1
113,6317,-35.162506,149.149857,AMY ACKMAN ST AFTER TURBAYNE CRES,FORDE,"(-35.162506, 149.149857)",0.36016046,0.754310859,0.005464481,0.526315789,1
114,2313,-35.318478,149.11557,MELBOURNE AV OPP SENIOR GIRLS GRAMMAR SCHOOL,FORREST,"(-35.318478, 149.11557)",0.053211924,0.857137466,0.003903201,0.636942675,1
115,2595,-35.316414,149.117416,MELBOURNE AV BEFORE EMPIRE CCT,FORREST,"(-35.316414, 149.117416)",0.080155089,0.712138844,0.003903201,0.636942675,1
116,2593,-35.312927,149.120529,MELBOURNE AV SOUTH OF SOMERS CR,FORREST,"(-35.312927, 149.120529)",0.083544699,0.700097811,0.003903201,0.636942675,1
117,6186,-35.200275,149.141541,OODGEROO AV AFTER GWEN MEREDITH,FRANKLIN,"(-35.200275, 149.141541)",0.014350626,0.092375532,0.007416081,0.434782609,1
118,6187,-35.200394,149.141602,OOGEROO AV BEFORE HOSKINS ST,FRANKLIN,"(-35.200394, 149.141602)",0.014350626,0.092641173,0.007416081,0.434782609,1
119,6185,-35.189995,149.143555,MANNING CLARK CR AFTER FLEMINGTON RD,FRANKLIN,"(-35.189995, 149.143555)",0.013908019,1.116978559,0.007416081,0.434782609,1
120,4933,-35.189999,149.047211,DALEY CR OPP FRASER EAST TERMINUS,FRASER,"(-35.189999, 149.047211)",0.067283081,0.412118334,0.012490242,0.4,1
121,4932,-35.190842,149.035538,SHAKESPEARE CR FRASER OPP WEST TERMINUS,FRASER,"(-35.190842, 149.035538)",0.054340672,1.377539784,0.012490242,0.4,1
122,4887,-35.192387,149.053879,BINGLEY CR AFTER MORONEY ST,FRASER,"(-35.192387, 149.053879)",0.067952277,0.302319918,0.012490242,0.4,1
123,5127,-35.330887,149.162582,CANBERRA AV AFTER IPSWICH ST,FYSHWICK,"(-35.330887, 149.162582)",0.101172904,1.057174456,0.017174083,0.102459016,1
124,2406,-35.327408,149.181198,ALBANY ST BEFORE COLLIE ST,FYSHWICK,"(-35.327408, 149.181198)",0.063448055,0.676775174,0.017174083,0.102459016,1
125,2407,-35.326725,149.178391,WOLLONGONG ST COMMONWEALTH BANK,FYSHWICK,"(-35.326725, 149.178391)",0.114529133,0.472031418,0.017174083,0.102459016,1
126,2302,-35.345757,149.104965,GILMORE CR AFTER ELDRIDGE CR,GARRAN,"(-35.345757, 149.104965)",0.012100453,0.500457761,0.010928962,0.37037037,1
127,2303,-35.345863,149.104935,GILMORE CR 2ND AFTER HARTIGAN ST,GARRAN,"(-35.345863, 149.104935)",0.012100453,0.511817812,0.010928962,0.37037037,1
128,2382,-35.346485,149.099747,YAMBA DR THE CANBERRA HOSPITAL,GARRAN,"(-35.346485, 149.099747)",0.028265031,0.899750274,0.010928962,0.37037037,1
129,1145,-35.414936,149.132904,HEAGNEY CR AFTER LOUISA LAWSON CR NORTH ENTRY,GILMORE,"(-35.414936, 149.132904)",0.009707077,0.674553841,0.007416081,0.476190476,1
130,1142,-35.416759,149.135056,HEAGNEY CR 3RD AFTER EMILY BULLOCK CR,GILMORE,"(-35.416759, 149.135056)",0.041961878,0.507205789,0.007416081,0.476190476,1
131,1146,-35.414982,149.132813,HEAGNEY CR BEFORE HAMBIDGE CR,GILMORE,"(-35.414982, 149.132813)",0.009707077,0.669595727,0.007416081,0.476190476,1
132,5015,-35.217415,149.090332,BALDWIN DR AFTER GUM ST,GIRALANG,"(-35.217415, 149.090332)",0.01435964,0.873127461,0.011709602,0.416666667,1
133,5016,-35.217575,149.086792,BALDWIN DR AFTER WILLIAM SLIM DR,GIRALANG,"(-35.217575, 149.086792)",0.014624972,1.136071273,0.011709602,0.416666667,1
134,5097,-35.218632,149.096756,BALDWIN DR BEFORE CHUCULBA CR,GIRALANG,"(-35.218632, 149.096756)",0.013459631,0.745109467,0.011709602,0.416666667,1
135,1190,-35.452904,149.087967,LEWIS LUXTON AV AFTER SID BARNES CR,GORDON,"(-35.452904, 149.087967)",0.057616018,0.342232728,0.014832162,0.227272727,1
136,1187,-35.44709,149.083847,CLARE DENNIS AV AFTER 2ND FRED LANE CR,GORDON,"(-35.44709, 149.083847)",0.123407287,0.447281267,0.014832162,0.227272727,1
137,1188,-35.448402,149.086121,LEWIS LUXTON AV AFTER PREDDY WY,GORDON,"(-35.448402, 149.086121)",0.099696783,0.306307016,0.014832162,0.227272727,1
138,1505,-35.414013,149.10939,CASTLETON CR OPP GOWRIE SHOPS,GOWRIE,"(-35.414013, 149.10939)",0.017049941,0.230632984,0.008196721,0.526315789,1
139,1506,-35.412067,149.105804,CASTLETON CR AFTER 2ND WHEATLEY ST,GOWRIE,"(-35.412067, 149.105804)",0.024143512,0.38045296,0.008196721,0.526315789,1
140,1503,-35.41452,149.112869,BUGDEN AV AFTER CASTLETON CR,GOWRIE,"(-35.41452, 149.112869)",0.036698026,0.382372812,0.008196721,0.526315789,1
141,1068,-35.419975,149.070831,ANKETELL ST AFTER BUNNINGS WAREHOUSE,GREENWAY,"(-35.419975, 149.070831)",0.019962892,0.232234483,0.009367681,0.188679245,1
142,1066,-35.422523,149.072922,ANKETELL ST OPP ACTEW AGL,GREENWAY,"(-35.422523, 149.072922)",0.019186421,0.568553823,0.009367681,0.188679245,1
143,1067,-35.419796,149.070847,ANKETELL ST OPP TUGGERANONG SQUARE,GREENWAY,"(-35.419796, 149.070847)",0.019962892,0.214014494,0.009367681,0.188679245,1
144,5091,-35.333946,149.13533,LA PEROUSE ST AFTER HAMELIN CR,GRIFFITH,"(-35.333946, 149.13533)",0.022309323,1.040250466,0.009367681,0.363636364,1
145,2329,-35.319443,149.137543,GILES ST KINGSTON HOTEL,GRIFFITH,"(-35.319443, 149.137543)",0.09878016,0.587904514,0.009367681,0.363636364,1
146,2330,-35.317204,149.138962,GILES ST AFTER LEICHHARDT ST,GRIFFITH,"(-35.317204, 149.138962)",0.172845827,0.851005669,0.009367681,0.363636364,1
147,5083,-35.186932,149.124054,THE VALLEY AV AFTER GUNGAHLIN DR,GUNGAHLIN,"(-35.186932, 149.124054)",0.114390604,0.918186241,0.013270882,0.217391304,1
148,5084,-35.187759,149.123306,BURGMANN ANGLICAN SCHOOL THE VALLEY AV,GUNGAHLIN,"(-35.187759, 149.123306)",0.114390604,1.022331131,0.013270882,0.217391304,1
149,5085,-35.181183,149.13324,GOZZARD ST GUNGAHLIN,GUNGAHLIN,"(-35.181183, 149.13324)",0.067908703,0.214340983,0.013270882,0.217391304,1
150,3199,-35.247097,149.162964,MADIGAN ST AFTER HADDON ST,HACKETT,"(-35.247097, 149.162964)",0.107696397,0.107999218,0.004683841,0.526315789,1
151,3196,-35.246426,149.156311,ANTILL ST AFTER ANTILL SERVICE RD,HACKETT,"(-35.246426, 149.156311)",0.034635355,0.614791074,0.004683841,0.526315789,1
152,3197,-35.244644,149.160065,MADIGAN ST AFTER ANTILL ST,HACKETT,"(-35.244644, 149.160065)",0.016096136,0.452513274,0.004683841,0.526315789,1
153,6052,-35.200195,149.15834,CULTIVATION ST AFTER ENCOUNTER ST,HARRISON,"(-35.200195, 149.15834)",0.065669534,9.22E+18,0.010928962,0.333333333,1
154,6053,-35.20068,149.157928,CULTIVATION ST AFTER NULLARBOR AV,HARRISON,"(-35.20068, 149.157928)",0.065669534,9.22E+18,0.010928962,0.333333333,1
155,6058,-35.195549,149.15831,JENOLAN ST AFTER MAPLETON AV,HARRISON,"(-35.195549, 149.15831)",0.01807772,9.22E+18,0.010928962,0.333333333,1
156,4810,-35.242207,149.032761,MURRANJI ST AFTER ALEXANDRIA ST,HAWKER,"(-35.242207, 149.032761)",0.041272346,0.516021825,0.009367681,0.526315789,1
157,4811,-35.241894,149.033005,MURRANJI ST AFTER BELCONNEN WAY,HAWKER,"(-35.241894, 149.033005)",0.041272346,0.510657463,0.009367681,0.526315789,1
158,4823,-35.241856,149.043457,BELCONNEN WY AFTER SPRINGVALE DR,HAWKER,"(-35.241856, 149.043457)",0.029732469,0.550107909,0.009367681,0.526315789,1
159,4986,-35.229664,149.022766,FULLAGAR CR BEFORE ASHBURNER ST,HIGGINS,"(-35.229664, 149.022766)",0.051686196,0.49483627,0.013270882,0.588235294,1
